"Week","Year","Industry","Revenue","Source"
"Week 2","2021","INTERMODAL",1208.61289,"CN"
"Week 2","2021","METALS&MINERALS",497.99847,"CN"
"Week 2","2021","PETRO&CHEMICALS",886.34452,"CN"
"Week 2","2021","RTMs TOTAL",5102.35106,"CN"
"Week 3","2021","AUTOMOTIVE",53.83745,"CN"
"Week 3","2021","COAL",401.09141,"CN"
"Week 3","2021","FOREST PRODUCTS",565.76848,"CN"
"Week 3","2021","GRAIN & FERTS",1570.53649,"CN"
"Week 3","2021","INTERMODAL",1227.75205,"CN"
"Week 3","2021","METALS&MINERALS",493.25927,"CN"
"Week 3","2021","PETRO&CHEMICALS",890.97825,"CN"
"Week 3","2021","RTMs TOTAL",5203.2234,"CN"
"Week 4","2021","AUTOMOTIVE",50.60883,"CN"
"Week 4","2021","COAL",376.80133,"CN"
"Week 4","2021","FOREST PRODUCTS",524.71084,"CN"
"Week 4","2021","GRAIN & FERTS",1407.52339,"CN"
"Week 4","2021","INTERMODAL",1227.55136,"CN"
"Week 4","2021","METALS&MINERALS",529.294,"CN"
"Week 4","2021","PETRO&CHEMICALS",869.3111,"CN"
"Week 4","2021","RTMs TOTAL",4985.80085,"CN"
"Week 5","2021","AUTOMOTIVE",47.53252,"CN"
"Week 5","2021","COAL",322.20893,"CN"
"Week 5","2021","FOREST PRODUCTS",506.38424,"CN"
"Week 5","2021","GRAIN & FERTS",1322.39822,"CN"
"Week 5","2021","INTERMODAL",1167.34992,"CN"
"Week 5","2021","METALS&MINERALS",526.24911,"CN"
"Week 5","2021","PETRO&CHEMICALS",833.44808,"CN"
"Week 5","2021","RTMs TOTAL",4725.57101,"CN"
"Week 6","2021","AUTOMOTIVE",46.49948,"CN"
"Week 6","2021","COAL",269.13737,"CN"
"Week 6","2021","FOREST PRODUCTS",411.05691,"CN"
"Week 6","2021","GRAIN & FERTS",1160.78315,"CN"
"Week 6","2021","INTERMODAL",1111.11814,"CN"
"Week 6","2021","METALS&MINERALS",427.51192,"CN"
"Week 6","2021","PETRO&CHEMICALS",700.9719,"CN"
"Week 6","2021","RTMs TOTAL",4127.07886,"CN"
"Week 7","2021","AUTOMOTIVE",47.88565,"CN"
"Week 7","2021","COAL",273.0469,"CN"
"Week 7","2021","FOREST PRODUCTS",478.8987,"CN"
"Week 7","2021","GRAIN & FERTS",1099.40012,"CN"
"Week 7","2021","INTERMODAL",1039.61388,"CN"
"Week 7","2021","METALS&MINERALS",431.93902,"CN"
"Week 7","2021","PETRO&CHEMICALS",797.02602,"CN"
"Week 7","2021","RTMs TOTAL",4167.81029,"CN"
"Week 8","2021","AUTOMOTIVE",47.99167,"CN"
"Week 8","2021","COAL",322.54616,"CN"
"Week 8","2021","FOREST PRODUCTS",541.9365,"CN"
