year,week_no,geo_zone,card_present,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2020,30,CANADA,CNP,1.209078290661488,0.013459362576938659,0.08488788372117397,264.8450811997061,283.25928068935156,-0.06500828302900401
2022,18,CANADA,CNP,1.725373920812591,0.08907562180248162,0.007378502040423749,281.56421337632185,262.1953993394031,0.07387167770951804
2019,29,CANADA,CNP,1.0413545296419258,0.051435588065072445,0.09626872674557815,252.3726477478313,259.28960729411216,-0.026676578434688066
2024,15,CANADA,CNP,1.5654004272693045,0.0017341099719098004,0.03546207241178278,243.85221856896447,256.5359069258077,-0.04944215610531062
2020,31,CANADA,CNP,1.321339354204708,0.22606915551052578,0.12014186892543166,260.3501386241776,236.9266135774592,0.09886405200765032
2019,28,CANADA,CNP,1.1675146905342848,0.04827062451499271,0.10111043054983773,268.41489931975786,276.4907615115855,-0.029208434117930716
2021,44,CANADA,CNP,1.7237792358716861,0.10434811114746953,0.026104657061160264,247.9695275131029,231.83720974522635,0.06958467877354496
2021,18,CANADA,CNP,1.5659136207482465,0.2652324050178968,0.225418033925586,262.1953993394031,244.71702933499677,0.071422777776858
2020,29,CANADA,CNP,1.1385327348762901,0.1006853401687066,0.11991198229756322,249.8256388141175,252.3726477478313,-0.010092254277328669
2020,42,CANADA,CNP,1.2610859940074077,0.21558737928954377,0.18439945267653163,238.02431563925396,231.0516477417636,0.030177962224633932
2020,37,CANADA,CNP,1.1331407980854886,0.10430326623977693,0.048499185118728465,250.2123058940278,238.17034685149068,0.05056027839622616
2020,41,CANADA,CNP,1.1226725505455353,0.029901264268209115,0.01073857975550114,249.62225228593746,243.051970726236,0.02703241426131851
2021,42,CANADA,CNP,1.428362509581405,0.12977537996990735,0.061929571276128303,248.18087927577702,238.024315639254,0.04267027765312908
2019,1,CANADA,CNP,0.8937615983951591,0.09372444535009956,0.13268299290993474,237.04200286306303,239.9439491035096,-0.012094267229029768
2020,34,CANADA,CNP,1.1526016637885799,0.05452518455028366,0.07038898322447495,248.825757178891,257.68079406700394,-0.03436436510596285
2019,18,CANADA,CNP,1.1297929577642756,0.10359623050147693,0.16051030347497186,260.0985010596799,265.2036167946302,-0.01924979680387849
2022,14,CANADA,CNP,1.6782551880396768,0.07304742283990255,-0.0035050074672425,267.8270160042812,261.80778414296657,0.02299103474336599
2018,51,CANADA,CNP,0.9185321064798518,-0.0929000152992207,0.007368062934862545,233.98387472461746,251.21858283514385,-0.0686044317105166
2020,1,CANADA,CNP,0.9999999999999959,0.10742162338636381,0.1480996272701035,226.1761285813699,237.04200286306303,-0.045839446808801386
2021,19,CANADA,CNP,1.3697884891707974,0.1369287326519383,0.1467471491961803,263.5799109059859,257.0304426413276,0.025481293956287208
2020,4,CANADA,CNP,1.1157099732466198,-0.05039482510856401,-0.02919571281250502,243.9768894269915,247.87636607705005,-0.015731538717355692
2021,40,CANADA,CNP,1.451043876751444,0.17220383052043506,0.14115031181983415,252.46333121446912,247.14845399526075,0.021504796543498857
2022,38,CANADA,CNP,1.5181945907968653,0.14831993208968403,0.09871481878618915,262.5820121462634,256.6076142510128,0.023282231560776936
